It.no.|   Time    |time step |SOR iterations | residual | SOR converged 
    331 |  3.970276 | 0.003593 |      247      | 0.000999 | Yes 
    332 |  3.973869 | 0.003593 |      384      | 0.000996 | Yes 
    333 |  3.977461 | 0.003593 |      356      | 0.000991 | Yes 
    334 |  3.981054 | 0.003593 |      309      | 0.000997 | Yes 
    335 |  3.984646 | 0.003593 |      216      | 0.001000 | Yes 
    336 |  3.988239 | 0.003593 |      201      | 0.000996 | Yes 
    337 |  3.991831 | 0.003593 |      105      | 0.000992 | Yes 
    338 |  3.995424 | 0.003593 |      390      | 0.000992 | Yes 
    339 |  3.999017 | 0.003593 |      287      | 0.000995 | Yes 
    340 |  4.002609 | 0.003593 |      334      | 0.000991 | Yes 
    341 |  4.006202 | 0.003593 |      466      | 0.001000 | Yes 
    342 |  4.009794 | 0.003593 |      384      | 0.000999 | Yes 
    343 |  4.013387 | 0.003593 |      579      | 0.000995 | Yes 
    344 |  4.016979 | 0.003593 |      574      | 0.000998 | Yes 
    345 |  4.020572 | 0.003593 |      394      | 0.000997 | Yes 
    346 |  4.024164 | 0.003593 |      294      | 0.000991 | Yes 
    347 |  4.027757 | 0.003593 |      515      | 0.000998 | Yes 
    348 |  4.031349 | 0.003593 |      493      | 0.000997 | Yes 
    349 |  4.034942 | 0.003593 |      403      | 0.000993 | Yes 
    350 |  4.038535 | 0.003593 |      320      | 0.000999 | Yes 
    351 |  4.042127 | 0.003593 |      116      | 0.000998 | Yes 
    352 |  4.045720 | 0.003593 |      338      | 0.000997 | Yes 
    353 |  4.049312 | 0.003593 |      258      | 0.000997 | Yes 
    354 |  4.052905 | 0.003593 |      294      | 0.000993 | Yes 
    355 |  4.056497 | 0.003593 |      393      | 0.000993 | Yes 
    356 |  4.060090 | 0.003593 |      439      | 0.000996 | Yes 
    357 |  4.063682 | 0.003593 |      225      | 0.000991 | Yes 
    358 |  4.067275 | 0.003593 |      254      | 0.000990 | Yes 
    359 |  4.070867 | 0.003593 |      181      | 0.000997 | Yes 
    360 |  4.074460 | 0.003593 |      141      | 0.000999 | Yes 
    361 |  4.078052 | 0.003593 |      138      | 0.000995 | Yes 
    362 |  4.081645 | 0.003593 |      443      | 0.001000 | Yes 
    363 |  4.085238 | 0.003593 |      501      | 0.000998 | Yes 
    364 |  4.088830 | 0.003593 |      525      | 0.000992 | Yes 
    365 |  4.092423 | 0.003593 |      385      | 0.000999 | Yes 
    366 |  4.096015 | 0.003593 |      520      | 0.000996 | Yes 
    367 |  4.099608 | 0.003593 |      494      | 0.000991 | Yes 
    368 |  4.103200 | 0.003593 |      425      | 0.000996 | Yes 
    369 |  4.106793 | 0.003593 |      344      | 0.000999 | Yes 
    370 |  4.110385 | 0.003593 |      93      | 0.000990 | Yes 
    371 |  4.113978 | 0.003593 |      80      | 0.000970 | Yes 
    372 |  4.117570 | 0.003593 |      400      | 0.000989 | Yes 
    373 |  4.121163 | 0.003593 |      546      | 0.001000 | Yes 
    374 |  4.124756 | 0.003593 |      535      | 0.000994 | Yes 
    375 |  4.128348 | 0.003593 |      363      | 0.000998 | Yes 
    376 |  4.131941 | 0.003593 |      509      | 0.000991 | Yes 
    377 |  4.135533 | 0.003593 |      460      | 0.000992 | Yes 
    378 |  4.139126 | 0.003593 |      350      | 0.000997 | Yes 
    379 |  4.142718 | 0.003593 |      261      | 0.000995 | Yes 
    380 |  4.146311 | 0.003593 |      81      | 0.000965 | Yes 
    381 |  4.149903 | 0.003593 |      529      | 0.000995 | Yes 
    382 |  4.153496 | 0.003593 |      499      | 0.000992 | Yes 
    383 |  4.157088 | 0.003593 |      296      | 0.000990 | Yes 
    384 |  4.160681 | 0.003593 |      282      | 0.000992 | Yes 
    385 |  4.164273 | 0.003593 |      298      | 0.000994 | Yes 
    386 |  4.167866 | 0.003593 |      148      | 0.000996 | Yes 
    387 |  4.171459 | 0.003593 |      446      | 0.000999 | Yes 
    388 |  4.175051 | 0.003593 |      322      | 0.000995 | Yes 
    389 |  4.178644 | 0.003593 |      483      | 0.000993 | Yes 
    390 |  4.182236 | 0.003593 |      472      | 0.000996 | Yes 
    391 |  4.185829 | 0.003593 |      307      | 0.000998 | Yes 
    392 |  4.189421 | 0.003593 |      322      | 0.000992 | Yes 
    393 |  4.193014 | 0.003593 |      291      | 0.000997 | Yes 
    394 |  4.196606 | 0.003593 |      449      | 0.000992 | Yes 
    395 |  4.200199 | 0.003593 |      350      | 0.000998 | Yes 
    396 |  4.203791 | 0.003593 |      182      | 0.000990 | Yes 
    397 |  4.207384 | 0.003593 |      138      | 0.000969 | Yes 
    398 |  4.210976 | 0.003593 |      443      | 0.000994 | Yes 
    399 |  4.214569 | 0.003593 |      325      | 0.000996 | Yes 
    400 |  4.218162 | 0.003593 |      438      | 0.000995 | Yes 
    401 |  4.221754 | 0.003593 |      433      | 0.000994 | Yes 
    402 |  4.225347 | 0.003593 |      387      | 0.000994 | Yes 
    403 |  4.228939 | 0.003593 |      462      | 0.000990 | Yes 
    404 |  4.232532 | 0.003593 |      407      | 0.000997 | Yes 
    405 |  4.236124 | 0.003593 |      383      | 0.001000 | Yes 
    406 |  4.239717 | 0.003593 |      127      | 0.000989 | Yes 
